track_name,artist_name,album_name,popularity,market,genres,duration_mins,release_year,tempo,speechiness,loudness,liveness,instrumentalness,energy,acousticness,valence,like
Sparks,Coldplay,Parachutes,84,USA,"permanent wave, pop",3.784883,2000,102.617,0.0281,-10.506,0.104,0.0517,0.268,0.748,0.165,0
The Real Slim Shady,Eminem,The Marshall Mathers LP,86,USA,"detroit hip hop, hip hop, rap",4.736667,2000,104.504,0.0572,-4.244,0.0454,0,0.661,0.0302,0.76,1
Yellow,Coldplay,Parachutes,87,USA,"permanent wave, pop",4.446217,2000,173.372,0.0281,-7.227,0.234,0.000121,0.661,0.00239,0.285,0
In the End,Linkin Park,Hybrid Theory (Bonus Edition),85,USA,"alternative metal, nu metal, post-grunge, rap metal",3.614667,2000,105.143,0.0584,-5.87,0.209,0,0.864,0.00958,0.4,1
Kryptonite,3 Doors Down,The Better Life,78,USA,"alternative metal, nu metal, pop rock, post-grunge",4.508433,2000,99.009,0.0286,-5.708,0.168,1.10E-05,0.865,0.00664,0.543,0
Stan,Eminem,The Marshall Mathers LP,83,USA,"detroit hip hop, hip hop, rap",3.898883,2000,80.063,0.238,-4.325,0.518,2.34E-06,0.768,0.0371,0.507,1
One Step Closer,Linkin Park,Hybrid Theory (Bonus Edition),78,USA,"alternative metal, nu metal, post-grunge, rap metal",4.992217,2000,95.136,0.0491,-4.419,0.0787,1.32E-06,0.969,0.0014,0.538,1
Ride Wit Me,Nelly,Country Grammar,74,USA,"dance pop, hip hop, pop rap, southern hip hop, st louis rap, urban contemporary",6.7351,2000,101.875,0.0478,-6.49,0.244,1.80E-06,0.7,0.0616,0.722,1
Down with the Sickness,Disturbed,The Sickness,75,USA,"alternative metal, nu metal, rap metal",2.622217,2000,89.954,0.0553,-4.262,0.106,6.89E-06,0.876,0.000996,0.941,1
Crawling,Linkin Park,Hybrid Theory (Bonus Edition),76,USA,"alternative metal, nu metal, post-grunge, rap metal",3.793333,2000,105.076,0.0337,-5.565,0.536,3.20E-06,0.702,0.0466,0.299,1
